Observation id,120839 - side,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,,,,,,,
,,,,,,,,
Observation date,2022-06-14 16:13:30,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
454.067,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,START
458.600,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,STOP
468.967,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
471.067,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Chewing,,,START
471.933,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Chewing,,,STOP
475.933,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
482.833,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
489.000,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
493.267,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Hollowing/Digging,,,START
497.533,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Hollowing/Digging,,,STOP
