From Top,,,
Player #1,e3v819c-20200808T0609-0709.mp4,,
Time,Behavior,Comment,Status
907.4,Porthole Interaction,,START
907.6,Porthole Interaction,,STOP
909.2,Porthole Interaction,,START
910.8,Porthole Interaction,,STOP
911.4,Locomotion,,STOP
912,Locomotion,,START
912.067,Porthole Interaction,,START
912.867,Porthole Interaction,,STOP
913.667,Porthole Interaction,,START
913.8,Porthole Interaction,,STOP
915.467,Locomotion,,STOP
918.667,Playing w/ Box,,START
918.8,Playing w/ Box,,STOP
919.267,Playing w/ Box,,START
920.4,Playing w/ Box,,STOP
921.733,Drinking,,START
940.067,Drinking,,STOP
943.267,Playing w/ Ball,,START
944.133,Playing w/ Ball,,STOP
944.2,Riding the Ball,,START
947.333,Riding the Ball,,STOP
947.733,Playing w/ Ball,,START
948.267,Playing w/ Ball,,STOP
949.067,Riding the Box,,START
949.8,Rearing,,START
951.533,Rearing,,STOP
951.533,Riding the Box,,STOP
951.933,Playing w/ Box,,START
952.6,Playing w/ Box,,STOP
970.4,Playing w/ Ball,,START
976.4,Playing w/ Ball,,STOP
979.6,Playing w/ Ball,,START
980.333,Playing w/ Ball,,STOP
980.333,Riding the Ball,,START
982.467,Riding the Ball,,STOP
982.733,Playing w/ Ball,,START
983.133,Playing w/ Ball,,STOP
989.333,Locomotion,,START
993.667,Locomotion,,STOP
995.133,Locomotion,,START
997.8,Locomotion,,STOP
1000.933,Locomotion,,START
1001.067,Locomotion,,STOP
1001.8,Locomotion,,START
1002,Porthole Interaction,,START
1002.867,Porthole Interaction,,STOP
1002.933,Locomotion,,STOP
1003.933,Locomotion,,START
1004.133,Locomotion,,STOP
1004.267,Porthole Interaction,,START
1006,Porthole Interaction,,STOP
1007.6,Porthole Interaction,,START
1035,Porthole Interaction,,STOP
1036.733,Porthole Interaction,,START
1304.4,Porthole Interaction,,STOP
1451.667,Porthole Interaction,,START
1452.2,Porthole Interaction,,STOP
1456.733,Locomotion,,START
1458,Locomotion,,STOP
1458.867,Porthole Interaction,,START
1461.933,Porthole Interaction,,STOP
1463.8,Porthole Interaction,,START
1464,Porthole Interaction,,STOP
1488.267,Locomotion,,START
1489.4,Locomotion,,STOP
1489.533,Porthole Interaction,,START
1489.867,Porthole Interaction,,STOP
1490.867,Porthole Interaction,,START
1494.133,Porthole Interaction,,STOP
1494.667,Porthole Interaction,,START
1495.4,Porthole Interaction,,STOP
1497.4,Porthole Interaction,,START
1499.133,Porthole Interaction,,STOP
1514.867,Porthole Interaction,,START
1519.267,Porthole Interaction,,STOP
1520.533,Porthole Interaction,,START
1522.133,Porthole Interaction,,STOP
1522.667,Porthole Interaction,,START
1524.4,Porthole Interaction,,STOP
1526,Porthole Interaction,,START
1527.067,Porthole Interaction,,STOP
1527.8,Porthole Interaction,,START
1528.2,Porthole Interaction,,STOP
1531.867,Locomotion,,START
1532.333,Locomotion,,STOP
1532.667,Porthole Interaction,,START
1533.867,Porthole Interaction,,STOP
1534.733,Porthole Interaction,,START
1536.733,Porthole Interaction,,STOP
1537.333,Porthole Interaction,,START
1539.933,Porthole Interaction,,STOP
1540.533,Porthole Interaction,,START
1540.6,Porthole Interaction,,STOP
1544.267,Porthole Interaction,,START
1546.467,Porthole Interaction,,STOP
1561.6,Locomotion,,START
1563.267,Locomotion,,STOP
1564.467,Porthole Interaction,,START
1565.8,Porthole Interaction,,STOP
1620,Locomotion,,START
1621.533,Locomotion,,STOP
1623,Porthole Interaction,,START
1704.6,Porthole Interaction,,STOP
1708.667,Porthole Interaction,,START
1815.733,Porthole Interaction,,STOP
1819.467,Locomotion,,START
1821.6,Locomotion,,STOP
1829.6,Porthole Interaction,,START
1871.133,Porthole Interaction,,STOP
1872,Grooming,,START
1923.467,Grooming,,STOP
2014.467,Playing w/ Box,,START
2014.933,Playing w/ Box,,STOP
2015.2,Riding the Box,,START
2015.6,Riding the Box,,STOP
2016.067,Drinking,,START
2028.133,Drinking,,STOP
2030.8,Playing w/ Box,,START
2031.333,Playing w/ Box,,STOP
2032.933,Playing w/ Ball,,START
2033.533,Playing w/ Ball,,STOP
2039.8,Playing w/ Ball,,START
2040.267,Playing w/ Ball,,STOP
2040.267,Riding the Ball,,START
2041.133,Riding the Ball,,STOP
2041.667,Playing w/ Ball,,START
2042.2,Playing w/ Ball,,STOP
2043,Playing w/ Box,,START
2043.667,Playing w/ Box,,STOP
2047.333,Porthole Interaction,,START
2047.933,Porthole Interaction,,STOP
2052.933,Porthole Interaction,,START
2054.2,Porthole Interaction,,STOP
2061.867,Porthole Interaction,,START
2063.467,Porthole Interaction,,STOP
2063.733,Porthole Interaction,,START
2065,Porthole Interaction,,STOP
2067.733,Grooming,,START
2069,Grooming,,STOP
2070.867,Grooming,,START
2079.267,Grooming,,STOP
2097.333,Locomotion,,START
2099,Locomotion,,STOP
2099.6,Porthole Interaction,,START
2137.067,Porthole Interaction,,STOP
2138.133,Porthole Interaction,,START
2140,Porthole Interaction,,STOP
2145.133,Porthole Interaction,,START
2146.067,Porthole Interaction,,STOP
2149.933,Locomotion,,START
2152.2,Locomotion,,STOP
2155.733,Locomotion,,START
2156.933,Locomotion,,STOP
2158.6,Porthole Interaction,,START
2159.267,Porthole Interaction,,STOP
2159.8,Porthole Interaction,,START
2160.667,Porthole Interaction,,STOP
2161.667,Porthole Interaction,,START
2162.2,Porthole Interaction,,STOP
2162.333,Porthole Interaction,,START
2162.867,Locomotion,,START
2162.867,Porthole Interaction,,STOP
2163.667,Locomotion,,STOP
2164.133,Porthole Interaction,,START
2164.867,Porthole Interaction,,STOP
2170.467,Porthole Interaction,,START
2172.733,Porthole Interaction,,STOP
2174.8,Porthole Interaction,,START
2175.533,Porthole Interaction,,STOP
2176.133,Porthole Interaction,,START
2180.067,Porthole Interaction,,STOP
2180.533,Porthole Interaction,,START
2181.667,Porthole Interaction,,STOP
2223.6,Locomotion,,START
2228.133,Locomotion,,STOP
2230.6,Locomotion,,START
2233.533,Locomotion,,STOP
2234.6,Locomotion,,START
2236.133,Locomotion,,STOP
2236.8,Porthole Interaction,,START
2238.733,Porthole Interaction,,STOP
2239.8,Porthole Interaction,,START
2240.4,Locomotion,,START
2240.467,Porthole Interaction,,STOP
2240.867,Porthole Interaction,,START
2242.067,Porthole Interaction,,STOP
2242.667,Locomotion,,STOP
2288.333,Porthole Interaction,,START
2288.933,Porthole Interaction,,STOP
2292.133,Porthole Interaction,,START
2293.133,Porthole Interaction,,STOP
2306.933,Playing w/ Box,,START
2307.467,Playing w/ Box,,STOP
2308.4,Rearing,,START
2310.733,Rearing,,STOP
