Observation id,CAF34_GZ,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410.mp4,,,,,,,
,,,,,,,,
Observation date,6/29/22 15:41,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
394.867,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Playing w/ Ball,,,STOP
396.2,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,START
397.667,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,STOP
398.333,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Playing w/ Ball,,,START
402.867,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,START
402.867,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Playing w/ Ball,,,STOP
405.667,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,STOP
420.267,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,START
425.2,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,STOP
459.933,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,START
461.333,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,STOP
461.333,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Nesting,,,START
462.133,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Nesting,,,STOP
462.2,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v819c-20200828T011409-021410-flipped.mp4,3601.07,15,,Locomotion,,,START
